"department","Year","id","Rain"
"Kaffrine",2001,"pd1",323
"Kaffrine",2001,"pd2",255.75
"Kaffrine",2001,"pd3",175.75
"Kaffrine",2002,"pd1",290.25
"Kaffrine",2002,"pd2",272
"Kaffrine",2002,"pd3",223.75
"Kaffrine",2003,"pd1",338.75
"Kaffrine",2003,"pd2",289
"Kaffrine",2003,"pd3",214.75
"Kaffrine",2004,"pd1",374
"Kaffrine",2004,"pd2",282.25
"Kaffrine",2004,"pd3",218.5
"Kaffrine",2005,"pd1",412.5
"Kaffrine",2005,"pd2",309.75
"Kaffrine",2005,"pd3",247.5
"Kaffrine",2006,"pd1",307.25
"Kaffrine",2006,"pd2",290.75
"Kaffrine",2006,"pd3",218.25
"Kaffrine",2007,"pd1",296.5
"Kaffrine",2007,"pd2",274.75
"Kaffrine",2007,"pd3",177.5
"Kaffrine",2008,"pd1",373.75
"Kaffrine",2008,"pd2",290
"Kaffrine",2008,"pd3",240
"Kaffrine",2009,"pd1",383.5
"Kaffrine",2009,"pd2",332.5
"Kaffrine",2009,"pd3",234.25
"Kaffrine",2010,"pd1",331.25
"Kaffrine",2010,"pd2",319.25
"Kaffrine",2010,"pd3",247.25
"Kaffrine",2011,"pd1",270
"Kaffrine",2011,"pd2",260.5
"Kaffrine",2011,"pd3",180.5
"Kaffrine",2012,"pd1",352
"Kaffrine",2012,"pd2",303.75
"Kaffrine",2012,"pd3",238
"Kaffrine",2013,"pd1",288.5
"Kaffrine",2013,"pd2",286.75
"Kaffrine",2013,"pd3",219
"Kaffrine",2014,"pd1",221
"Kaffrine",2014,"pd2",244.75
"Kaffrine",2014,"pd3",172.25
"Kaffrine",2015,"pd1",336.75
"Kaffrine",2015,"pd2",363.5
"Kaffrine",2015,"pd3",288
"Kaffrine",2016,"pd1",324.5
"Kaffrine",2016,"pd2",315
"Kaffrine",2016,"pd3",258.25
"Kaffrine",2017,"pd1",415
"Kaffrine",2017,"pd2",281.25
"Kaffrine",2017,"pd3",173.25
"Kaffrine",2018,"pd1",334
"Kaffrine",2018,"pd2",322.25
"Kaffrine",2018,"pd3",261.75
"Kaffrine",2019,"pd1",291.75
"Kaffrine",2019,"pd2",303
"Kaffrine",2019,"pd3",255.75
"Kaffrine",2020,"pd1",399.75
"Kaffrine",2020,"pd2",376.25
"Kaffrine",2020,"pd3",295.25
"Kaffrine",2021,"pd1",368.25
"Kaffrine",2021,"pd2",336.5
"Kaffrine",2021,"pd3",216.25
"Kaolack",1990,"pd1",168
"Kaolack",1990,"pd2",166.5
"Kaolack",1990,"pd3",106.5
"Kaolack",1991,"pd1",187
"Kaolack",1991,"pd2",169
"Kaolack",1991,"pd3",122
"Kaolack",1992,"pd1",193
"Kaolack",1992,"pd2",141
"Kaolack",1992,"pd3",101
"Kaolack",1993,"pd1",252.5
"Kaolack",1993,"pd2",208
"Kaolack",1993,"pd3",129
"Kaolack",1994,"pd1",243.5
"Kaolack",1994,"pd2",195
"Kaolack",1994,"pd3",113.5
"Kaolack",1995,"pd1",196.5
"Kaolack",1995,"pd2",150.5
"Kaolack",1995,"pd3",91
"Kaolack",1996,"pd1",169
"Kaolack",1996,"pd2",132.5
"Kaolack",1996,"pd3",90.5
"Kaolack",1997,"pd1",167
"Kaolack",1997,"pd2",154.5
"Kaolack",1997,"pd3",108.5
"Kaolack",1998,"pd1",181.5
"Kaolack",1998,"pd2",164
"Kaolack",1998,"pd3",106
"Kaolack",1999,"pd1",288
"Kaolack",1999,"pd2",243.5
"Kaolack",1999,"pd3",152
"Kaolack",2000,"pd1",240.5
"Kaolack",2000,"pd2",206
"Kaolack",2000,"pd3",153.5
"Kaolack",2001,"pd1",239
"Kaolack",2001,"pd2",177.5
"Kaolack",2001,"pd3",126.5
"Kaolack",2002,"pd1",251
"Kaolack",2002,"pd2",223.5
"Kaolack",2002,"pd3",158.5
"Kaolack",2003,"pd1",238
"Kaolack",2003,"pd2",192.5
"Kaolack",2003,"pd3",132.5
"Kaolack",2004,"pd1",247.5
"Kaolack",2004,"pd2",177.5
"Kaolack",2004,"pd3",126.5
"Kaolack",2005,"pd1",298.5
"Kaolack",2005,"pd2",236
"Kaolack",2005,"pd3",144
"Kaolack",2006,"pd1",213
"Kaolack",2006,"pd2",211
"Kaolack",2006,"pd3",147
"Kaolack",2007,"pd1",221.5
"Kaolack",2007,"pd2",173.5
"Kaolack",2007,"pd3",136.5
"Kaolack",2008,"pd1",276.5
"Kaolack",2008,"pd2",208.5
"Kaolack",2008,"pd3",133
"Kaolack",2009,"pd1",308
"Kaolack",2009,"pd2",239
"Kaolack",2009,"pd3",146.5
"Kaolack",2010,"pd1",255.5
"Kaolack",2010,"pd2",229
"Kaolack",2010,"pd3",180.5
"Kaolack",2011,"pd1",188
"Kaolack",2011,"pd2",171
"Kaolack",2011,"pd3",102.5
"Kaolack",2012,"pd1",281.5
"Kaolack",2012,"pd2",237
"Kaolack",2012,"pd3",163
"Kaolack",2013,"pd1",202
"Kaolack",2013,"pd2",187
"Kaolack",2013,"pd3",134.5
"Kaolack",2014,"pd1",178
"Kaolack",2014,"pd2",196.5
"Kaolack",2014,"pd3",136
"Kaolack",2015,"pd1",266.5
"Kaolack",2015,"pd2",262
"Kaolack",2015,"pd3",194.5
"Kaolack",2016,"pd1",228
"Kaolack",2016,"pd2",185
"Kaolack",2016,"pd3",144.5
"Kaolack",2017,"pd1",272.5
"Kaolack",2017,"pd2",166
"Kaolack",2017,"pd3",87.5
"Kaolack",2018,"pd1",230
"Kaolack",2018,"pd2",215.5
"Kaolack",2018,"pd3",165.5
"Kaolack",2019,"pd1",236.5
"Kaolack",2019,"pd2",221
"Kaolack",2019,"pd3",149.5
"Kaolack",2020,"pd1",297.5
"Kaolack",2020,"pd2",233
"Kaolack",2020,"pd3",185
"Kaolack",2021,"pd1",263
"Kaolack",2021,"pd2",221.5
"Kaolack",2021,"pd3",139
"Kolda",1990,"pd1",509.666666666667
"Kolda",1990,"pd2",446
"Kolda",1990,"pd3",344
"Kolda",1991,"pd1",505.333333333333
"Kolda",1991,"pd2",428.333333333333
"Kolda",1991,"pd3",347.333333333333
"Kolda",1992,"pd1",586
"Kolda",1992,"pd2",511
"Kolda",1992,"pd3",390.666666666667
