loc,department,id,plantingDateMean,harvestingDateMean
4,Fatick,pd3,236,314
5,Fatick,pd3,236,314
1,Fatick,pd3,236,314
2,Fatick,pd3,236,314
3,Fatick,pd3,236,314
4,Fatick,pd3,236,314
5,Fatick,pd3,236,314
1,Fatick,pd3,236,314
2,Fatick,pd3,236,314
3,Fatick,pd3,236,314
4,Fatick,pd3,236,314
5,Fatick,pd3,236,314
1,Kaffrine,pd1,177,260
2,Kaffrine,pd1,177,260
3,Kaffrine,pd1,177,260
4,Kaffrine,pd1,177,260
5,Kaffrine,pd1,177,260
1,Kaffrine,pd1,177,260
2,Kaffrine,pd1,177,260
3,Kaffrine,pd1,177,260
4,Kaffrine,pd1,177,260
5,Kaffrine,pd1,177,260
1,Kaffrine,pd1,177,260
2,Kaffrine,pd1,177,260
3,Kaffrine,pd1,177,260
4,Kaffrine,pd1,177,260
5,Kaffrine,pd1,177,260
1,Kaffrine,pd1,177,260
2,Kaffrine,pd1,177,260
3,Kaffrine,pd1,177,260
4,Kaffrine,pd1,177,260
5,Kaffrine,pd1,177,260
1,Kaffrine,pd1,177,260
2,Kaffrine,pd1,177,260
3,Kaffrine,pd1,177,260
4,Kaffrine,pd1,177,260
5,Kaffrine,pd1,177,260
1,Kaffrine,pd1,177,260
2,Kaffrine,pd1,177,260
3,Kaffrine,pd1,177,260
4,Kaffrine,pd1,177,260
5,Kaffrine,pd1,177,260
1,Kaffrine,pd2,212,294
2,Kaffrine,pd2,212,294
3,Kaffrine,pd2,212,294
4,Kaffrine,pd2,212,294
5,Kaffrine,pd2,212,294
1,Kaffrine,pd2,212,294
2,Kaffrine,pd2,212,294
3,Kaffrine,pd2,212,294
4,Kaffrine,pd2,212,294
5,Kaffrine,pd2,212,294
1,Kaffrine,pd2,212,294
2,Kaffrine,pd2,212,294
3,Kaffrine,pd2,212,294
4,Kaffrine,pd2,212,294
5,Kaffrine,pd2,212,294
1,Kaffrine,pd2,212,294
2,Kaffrine,pd2,212,294
3,Kaffrine,pd2,212,294
4,Kaffrine,pd2,212,294
5,Kaffrine,pd2,212,294
1,Kaffrine,pd2,212,294
2,Kaffrine,pd2,212,294
3,Kaffrine,pd2,212,294
4,Kaffrine,pd2,212,294
5,Kaffrine,pd2,212,294
1,Kaffrine,pd2,212,294
2,Kaffrine,pd2,212,294
3,Kaffrine,pd2,212,294
4,Kaffrine,pd2,212,294
5,Kaffrine,pd2,212,294
1,Kaffrine,pd3,231,311
2,Kaffrine,pd3,231,311
3,Kaffrine,pd3,231,311
4,Kaffrine,pd3,231,311
5,Kaffrine,pd3,231,311
1,Kaffrine,pd3,231,311
2,Kaffrine,pd3,231,311
3,Kaffrine,pd3,231,311
4,Kaffrine,pd3,231,311
5,Kaffrine,pd3,231,311
1,Kaffrine,pd3,231,311
2,Kaffrine,pd3,231,311
3,Kaffrine,pd3,231,311
4,Kaffrine,pd3,231,311
5,Kaffrine,pd3,231,311
1,Kaffrine,pd3,231,311
2,Kaffrine,pd3,231,311
3,Kaffrine,pd3,231,311
4,Kaffrine,pd3,231,311
5,Kaffrine,pd3,231,311
1,Kaffrine,pd3,231,311
2,Kaffrine,pd3,231,311
3,Kaffrine,pd3,231,311
4,Kaffrine,pd3,231,311
5,Kaffrine,pd3,231,311
1,Kaffrine,pd3,231,311
2,Kaffrine,pd3,231,311
3,Kaffrine,pd3,231,311
4,Kaffrine,pd3,231,311
5,Kaffrine,pd3,231,311
1,Kaolack,pd1,181,264
2,Kaolack,pd1,181,264
3,Kaolack,pd1,181,264
4,Kaolack,pd1,181,264
5,Kaolack,pd1,181,264
1,Kaolack,pd1,181,264
2,Kaolack,pd1,181,264
3,Kaolack,pd1,181,264
4,Kaolack,pd1,181,264
5,Kaolack,pd1,181,264
1,Kaolack,pd1,181,264
2,Kaolack,pd1,181,264
3,Kaolack,pd1,181,264
4,Kaolack,pd1,181,264
